Country ISO3,Country,Year,ISIC Division,ISIC Division Desc,Measure,Value LCU,Value USD
ARG,Argentina,2008,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,3791230000.0,1205800000.0
ARG,Argentina,2008,17-18,Manufacture of paper products and printing,Current prices,14229840000.0,4525800000.0
ARG,Argentina,2008,19,Manufacture of coke and refined petroleum products,Current prices,8941990000.0,2844000000.0
ARG,Argentina,2008,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,24052200000.0,7649800000.0
ARG,Argentina,2008,22,Manufacture of rubber and plastics products,Current prices,8681340000.0,2761100000.0
ARG,Argentina,2008,23,Manufacture of other non-metallic mineral products,Current prices,8682600000.0,2761500000.0
ARG,Argentina,2008,24,Manufacture of basic metals,Current prices,17684960000.0,5624700000.0
ARG,Argentina,2008,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,32399940000.0,10304800000.0
ARG,Argentina,2008,29-30,Manufacture of transport equipment,Current prices,13484360000.0,4288700000.0
ARG,Argentina,2009,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,69531540000.0,18741100000.0
ARG,Argentina,2009,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,17235690000.0,4645600000.0
ARG,Argentina,2009,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,3739790000.0,1008000000.0
ARG,Argentina,2009,17-18,Manufacture of paper products and printing,Current prices,15316450000.0,4128300000.0
ARG,Argentina,2009,19,Manufacture of coke and refined petroleum products,Current prices,9871860000.0,2660800000.0
ARG,Argentina,2009,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,26664930000.0,7187100000.0
ARG,Argentina,2009,22,Manufacture of rubber and plastics products,Current prices,9718630000.0,2619500000.0
ARG,Argentina,2009,23,Manufacture of other non-metallic mineral products,Current prices,8782940000.0,2367300000.0
ARG,Argentina,2009,24,Manufacture of basic metals,Current prices,13902900000.0,3747300000.0
