Country,Ind Code,Average USD Growth
Costa Rica,A,0.05735459685392811
Costa Rica,B,-0.03892436664114742
Costa Rica,C,0.11422090532614734
Costa Rica,D,0.04365395007235333
Costa Rica,E,1.2759126323000773
Costa Rica,F,0.04334748867659199
Costa Rica,G,0.02878212863576882
Costa Rica,H,0.06706328783109715
Costa Rica,I,0.10078134375356244
Costa Rica,J,0.042792749124099166
Costa Rica,K,0.032356840469533604
Costa Rica,L,0.14262700781593102
Croatia,A,0.05229668615743991
Croatia,B,0.021995955177967264
Croatia,C,0.07051286916451707
Croatia,D,0.04608987731812767
Croatia,E,0.03882921338732773
Croatia,F,0.0196799510371215
Croatia,G,0.07294271030500597
Croatia,H,0.05354877593225717
Croatia,I,0.05467714497636783
Croatia,J,0.07643395417544809
Croatia,K,0.026728575270706354
Croatia,L,0.062305460685107325
Cyprus,A,0.025874257079794974
Cyprus,B,-0.04953462721639595
Cyprus,C,0.03021339740596319
Cyprus,D,0.007715729568092978
Cyprus,E,0.09499648518093247
Cyprus,F,0.0753678627248698
Cyprus,G,0.03322863997847309
Cyprus,H,0.04041727043302808
Cyprus,I,0.07632570947340175
Cyprus,J,0.06406674128810298
Cyprus,K,0.027555410345366335
Cyprus,L,0.0015090549022773489
Czech Republic,A,0.05578142865865172
Czech Republic,B,0.029575995566327326
Czech Republic,C,0.08019826323615947
Czech Republic,D,0.06866162494908254
Czech Republic,E,-0.03397838581584638
Czech Republic,F,0.05912268526945836
Czech Republic,G,0.10644236132489335
Czech Republic,H,0.05022855807541268
Czech Republic,I,0.058157916686013805
Czech Republic,J,0.10428909724990289
Czech Republic,K,0.11906944171094658
Czech Republic,L,0.07794263993737917
Denmark,A,0.016928118646663777
Denmark,B,0.002083181232286525
Denmark,C,0.008950749602416121
Denmark,D,-0.01942698120145185
Denmark,E,-0.7453842623038874
Denmark,F,0.08707076100800697
Denmark,G,0.015035975082683013
Denmark,H,0.035286841253579754
Denmark,I,0.014290572607552997
Denmark,J,0.040743061371606965
Denmark,K,0.01578031019867362
Denmark,L,0.03840145047893922
Estonia,A,0.07236303965327304
Estonia,B,0.03736415898807202
Estonia,C,0.10968321308624783
Estonia,D,0.0974406011265946
Estonia,E,0.252890638995354
Estonia,F,0.10904284427750073
Estonia,G,0.1262112599026445
Estonia,H,0.11201996393373673
Estonia,I,0.3374636489481852
Estonia,J,0.13972888033498715
Estonia,K,0.13761147408509525
Estonia,L,0.08259500316272751
Finland,A,0.038912580622801736
Finland,B,-0.0017390973302286697
Finland,C,0.02643495755012283
Finland,D,-0.0009242153483197987
Finland,E,0.08473803155854287
Finland,F,0.06066263997535214
Finland,G,0.025119148476716795
Finland,H,0.03343439009415835
Finland,I,0.06835083959149528
Finland,J,0.02099222530938894
Finland,K,0.04617023002396779
Finland,L,-0.002661866667697071
France,A,0.03285822062401281
France,B,-0.002536383657066895
France,C,0.017026330777646814
France,D,0.008793328284928466
France,E,0.055137674036547055
France,F,0.03415589187454822
France,G,0.014473009744715418
France,H,0.02015412280571495
France,I,0.012264791689685646
France,J,0.013421565403152603
France,K,0.030972772985250023
France,L,0.0157923657320123
Germany,A,0.03141948540953274
Germany,B,0.009122437739499759
Germany,C,0.015435713178634902
Germany,D,0.009699597384571582
Germany,E,0.03739542868016842
Germany,F,0.04134738600771792
Germany,G,0.041010904653270064
Germany,H,0.025050036779443927
Germany,I,0.0419610195708472
Germany,J,0.045024808213224604
Germany,K,0.07242311023481414
Germany,L,0.040419169780387176
Greece,A,0.05116048671794092
Greece,B,-0.035155621909615783
Greece,C,-0.021252010449741614
Greece,D,-0.005007364061259166
Greece,E,0.07883016302748712
Greece,F,0.03793819981725926
Greece,G,0.05479275939780748
Greece,H,0.004099904201007106
Greece,I,0.044679432216279284
Greece,J,0.02018759866993442
Greece,K,0.0920516366189653
Greece,L,0.005466615251829948
Hong Kong,A,-0.03694717566587828
Hong Kong,B,-0.051295780525247345
Hong Kong,C,-0.03969743341746779
Hong Kong,D,-0.04712110905375435
Hong Kong,E,-0.02843125898604936
Hong Kong,F,-0.025703529952394492
Hong Kong,H,-0.032784856069820484
Hong Kong,I,0.07855236632540197
Hong Kong,J,-0.028895593405164233
Hong Kong,K,-0.009874571147973108
Hungary,A,0.05088195358604439
Hungary,B,0.0019173284280095929
Hungary,C,0.040532609780225076
Hungary,D,0.06490411088045558
Hungary,E,0.07538601300755221
Hungary,F,0.08372421821972804
Hungary,G,0.10900454833338828
Hungary,H,0.06199350095651433
Hungary,I,0.11196931281532271
Hungary,J,0.07818673652685863
