Country ISO3,Country,Year,ISIC Division,ISIC Division Desc,Measure,Method,Value LCU (million national currency),Value USD (million USD)
,ASEAN,2013,29-30,Manufacture of transport equipment,Current prices,Source,0,48500.2
,ASEAN,2014,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,116995.4
,ASEAN,2014,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,0,54324.8
,ASEAN,2014,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,10456.6
,ASEAN,2014,17-18,Manufacture of paper products and printing,Current prices,Source,0,16617.1
,ASEAN,2014,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,50685.8
,ASEAN,2014,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,53618.8
,ASEAN,2014,22,Manufacture of rubber and plastics products,Current prices,Source,0,18525.1
,ASEAN,2014,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,18854
,ASEAN,2014,24,Manufacture of basic metals,Current prices,Source,0,16736.5
,ASEAN,2014,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,130368.9
,ASEAN,2014,29-30,Manufacture of transport equipment,Current prices,Source,0,48061.6
,ASEAN,2015,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,116415.8
,ASEAN,2015,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,0,54283.8
,ASEAN,2015,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,9873.3
,ASEAN,2015,17-18,Manufacture of paper products and printing,Current prices,Source,0,16187.8
,ASEAN,2015,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,46298
,ASEAN,2015,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,52905.8
,ASEAN,2015,22,Manufacture of rubber and plastics products,Current prices,Source,0,17958.8
,ASEAN,2015,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,18419.8
,ASEAN,2015,24,Manufacture of basic metals,Current prices,Source,0,16340.3
,ASEAN,2015,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,127415.2
